اندیشه‌اش	اندیشه‌	اندیشه	اش
کارش	کار	کار	ش
روستایمان	روستا	روستا	یمان
خودم	خود	خودم	م
پدرم	پدر	پدر	م
همسرم	همسر	همسر	م
زندگیمان	زندگی	زندگی	مان
حزبش	حزب	حزب	ش
سرم	سر	سر	م
حضورشان	حضور	حضور	شان
حواسشان	حواس	حواس	شان
جدش	جد	جد	ش
پسرش	پسر	پسر	ش
شوهرش	شوهر	شوهر	ش
دعواشان	دعوا	دعوا	شان
زبانشان	زبان	زبان	شان
پیشگویی‌هایش	پیشگویی‌های	پیشگویی	ش
پایمان	پای	پای	مان
زانویم	زانو	زانو	یم
خداوندش	خداوند	خداوند	ش
انقلابشان	انقلاب	انقلاب	شان
قراردادش	قرارداد	قرارداد	ش
سرش	سر	سر	ش
خودشان	خود	خودشان	شان
آرزویم	آرزو	آرزو	یم
دستشان	دست	دست	شان
خودش	خود	خودش	ش
خودش	خود	خودش	ش
سکوتشان	سکوت	سکوت	شان
دلم	دل	دل	م
مسیرمان	مسیر	مسیر	مان
برگش	برگ	برگ	ش
خودش	خود	خودش	ش
طرح‌هایش	طرح‌های	طرح	ش
عبادتش	عبادت	عبادت	ش
پایش	پا	پا	یش
خودش	خود	خودش	ش
ضررشان	ضرر	ضرر	شان
کشورمان	کشور	کشور	مان
کشورمان	کشور	کشور	مان
خودش	خود	خودش	ش
حواسمان	حواس	حواس	مان
شانه‌ام	شانه‌	شانه	ام
ذهنم	ذهن	ذهن	م
تماشایش	تماشا	تماشا	یش
نظرم	نظر	نظر	م
خودم	خود	خودم	م
قیافه‌اش	قیافه‌	قیافه	اش
نظرت	نظر	نظر	ت
موهایش	موهای	مو	ش
گوشش	گوش	گوش	ش
موهایشان	موهای	مو	شان
ذهنم	ذهن	ذهن	م
موهایش	موهای	مو	ش
موهایش	موهای	مو	ش
گوشش	گوش	گوش	ش
دستش	دست	دست	ش
یادم	یاد	یاد	م
نگاهش	نگاه	نگاه	ش
نگاهش	نگاه	نگاه	ش
لحنش	لحن	لحن	ش
دوستم	دوست	دوست	م
نگاهم	نگاه	نگاه	م
جنسیتی‌شان	جنسیتی‌	جنسیتی	شان
رأیشان	رأی	رأی	شان
شوخی‌ام	شوخی‌	شوخی	ام
عزیزم	عزیز	عزیز	م
زنت	زن	زن	ت
دستهایش	دستهای	دست	ش
دستهایم	دستهای	دست	م
چشمانش	چشمان	چشم	ش
دست‌هایش	دست‌های	دست	ش
دست‌هایم	دست‌های	دست	م
صورتش	صورت	صورت	ش
خودم	خود	خودم	م
خودم	خود	خودم	م
مژه‌هایش	مژه‌های	مژه	ش
لبانش	لبان	لب	ش
دلم	دل	دل	م
خوشم	خوش	خوش	م
تلاشم	تلاش	تلاش	م
تلفنشان	تلفن	تلفن	شان
دست‌هایم	دست‌های	دست	م
ذائقه‌شان	ذائقه‌	ذائقه	شان
مطالبشان	مطالب	مطالب	شان
نارضایتی‌اش	نارضایتی‌	نارضایتی	اش
تحریریه‌اش	تحریریه‌	تحریریه	اش
پدربزرگشان	پدربزرگ	پدربزرگ	شان
هفته‌نامه‌هایمان	هفته‌نامه‌های	هفته‌نامه	مان
دعوتم	دعوت	دعوت	م
خودش	خود	خودش	ش
دوشم	دوش	دوش	م
دوشم	دوش	دوش	م
مجله‌مان	مجله‌	مجله	مان
تصمیمش	تصمیم	تصمیم	ش
سراغم	سراغ	سراغ	م
قرص‌هایم	قرص‌های	قرص	م
روان‌پزشکم	روان‌پزشک	روان‌پزشک	م
ذهنم	ذهن	ذهن	م
دستانش	دستان	دست	ش
زخمت	زخم	زخم	ت
کارشان	کار	کار	شان
همسرتان	همسر	همسر	تان
نیازهایشان	نیازهای	نیاز	شان
برنامه‌تان	برنامه‌	برنامه	تان
تنهایی‌ام	تنهایی‌	تنهایی	ام
بستگانشان	بستگان	بستگان	شان
قبیله‌هایشان	قبیله‌های	قبیله	شان
