عطفی	عطف
فراوانی	فراوان
پذیرای	پذیرا
ایثارگرانهٔ	ایثارگرانه
بیشتری	بیش
بهتر	به
بهتر	به
بیشتری	بیش
مشهورترین	مشهور
مهمی	مهم
استراتژیکی	استراتژیک
بیشتر	بیش
برافراشتهٔ	برافراشته
زودتر	زود
مفیدی	مفید
آیندهٔ	آینده
قالبی	قالب
بهترین	به
جدی‌تر	جدی
بیشتر	بیش
بالایی	بالا
دیگری	دیگر
فاحشی	فاحش
معنی‌داری	معنی‌دار
تعجب‌برانگیزی	تعجب‌برانگیز
بالای	بالا
بالای	بالا
آمادهٔ	آماده
طاقت‌فرسای	طاقت‌فرسا
ابتدایی‌ترین	ابتدایی
ماههٔ	ماهه
اولیهٔ	اولیه
بیشتر	بیش
دارای	دارا
ناسالمی	ناسالم
فراوانی	فراوان
مهم‌ترین	مهم
دارای	دارا
بیشتر	بیش
مثبتی	مثبت
زیادی	زیاد
منفعت‌طلبانهٔ	منفعت‌طلبانه
باشکوه‌تر	باشکوه
دندان‌شکنی	دندان‌شکن
نمایان‌تر	نمایان
بیشتر	بیش
بیشتری	بیش
باشکوه‌تر	باشکوه
گسترده‌تر	گسترده
زیادی	زیاد
زنده‌ای	زنده
زیادی	زیاد
گمراه‌کننده‌ای	گمراه‌کننده
بیشتر	بیش
بهتر	به
مهم‌تر	مهم
بالای	بالا
کمتر	کم
بلندترین	بلند
محدودی	محدود
کمتر	کم
غریبی	غریب
خوبی	خوب
بالایی	بالا
فعالی	فعال
بیشتری	بیش
مفیدی	مفید
آبی‌رنگی	آبی‌رنگ
تولیدکنندهٔ	تولیدکننده
کم‌تر	کم
دیگری	دیگر
بیشترین	بیش
خوبی	خوب
بیشترین	بیش
کمرنگ‌تر	کمرنگ
ورزشی	ورزش
خوبی	خوب
بیشتر	بیش
برگزارکنندهٔ	برگزارکننده
کمی	کم
بیشتر	بیش
جداگانه‌ای	جداگانه
عمیقی	عمیق
خاصی	خاص
بیشتر	بیش
خاصی	خاص
مساعدی	مساعد
مجهزی	مجهز
مؤثری	مؤثر
هوشمندی	هوشمند
بیشتر	بیش
شایستهٔ	شایسته
شدیدی	شدید
پیش‌تر	پیش
بهتر	به
اصالت‌مندی	اصالت‌مند
کمتر	کم
مناسبی	مناسب
بیشتری	بیش
بهترین	به
مناسبی	مناسب
چشمگیری	چشمگیر
دیگری	دیگر
افزودهٔ	افزوده
کشته‌شدهٔ	کشته‌شده
کمتر	کم
خاصی	خاص
دیگری	دیگر
برجسته‌ای	برجسته
داغ‌ترین	داغ
مهم‌ترین	مهم
مفیدی	مفید
زندهٔ	زنده
شیعهٔ	شیعه
ارزشمندتر	ارزشمند
سالم‌تر	سالم
موثقی	موثق
صحیحی	صحیح
پاسخگوی	پاسخگو
آزردهٔ	آزرده
تعلیق‌شدهٔ	تعلیق‌شده
